2025-03-25 13:02:40.294 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Группа математиков поймала эзотерика, утверждавшего, что все знания изначально есть в людях, и заставила его медитировать до тех пор, пока он не научится решать дифференциальные уравнения.
2025-03-25 13:03:40.012 | INFO     | __main__:<module>:16 - Бот запущен
2025-03-25 13:03:40.901 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: В семейной ссоре, если речь заходит о финансах, никогда не говоритесупруге, что вашего заработка хватит на двоих таких как она.В противном случае вы рискуете оказаться перед фактом, что тещапереехала к вам.                              Ivan Fuckov
2025-03-25 13:04:41.272 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Похоже, мой муж — расист. Познакомилась с таким классным парнем из Африки, привела домой, а муж его побил и выгнал!
2025-03-25 13:06:19.156 | INFO     | __main__:<module>:16 - Бот запущен
2025-03-25 13:06:20.203 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Если бы врачи работали как админы, самым популярным методом лечения было бы: "закопать - откопать: вдруг оживет?"
2025-03-25 13:06:59.942 | INFO     | __main__:<module>:16 - Бот запущен
2025-03-25 13:07:00.768 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: На память, вроде, не жалуюсь. А может и жалуюсь, но тут же забываю.
2025-03-25 13:08:01.090 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Избит брат мэра Киева.
2025-03-25 13:09:01.559 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Во время обучения в артиллерийском подразделении прапорщик рассказывает, как используется сложное прицельное устройство системы артиллерийского оружия: «Как вы все знаете, в окружности 180 градусов». Один из солдат говорит: «Но в окружности 360 градусов, товарищ прапорщик». «Ты идиот, - отвечает прапорщик, - ясно же, что я говорю о маленьком кружке!»
2025-03-25 13:09:18.704 | INFO     | __main__:<module>:16 - Бот запущен
2025-03-25 13:09:19.579 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Жена криминального олигарха очень нервничает, когда муж везёт её на природу.
2025-03-25 13:10:19.983 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: - Дяденька, дяденька, хотите собачку погладить?- Давай. Ух ты, псина, морда хорошая... А чего это она у тебя  худая такая?- Да не моя это... (Бормочет огорченно) Блин, а говорили - руку  враз перекусывает, зараза ...
2025-03-25 13:11:20.377 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Любовный огонь возникает тоже в результате трения.
2025-03-25 13:11:30.350 | INFO     | __main__:<module>:16 - Бот запущен
2025-03-25 13:11:31.172 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Оптихуист - человек, который верит, что всё будет хорошо, а если не будет, то и ебись оно всё конём!
